what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258103160532
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1258103167282
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1258103169954
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258103170594
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1258103171157
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258103171235
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1258103171250
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1258103172110
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258106216344
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258109585875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258109586532
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258109587329
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258109587344
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258109588704
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258109588891
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1258109590157
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1258109590235
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1258109590297
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1258109590329
