what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080167229
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080182260
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080189557
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080190901
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080196041
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080200588
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080219682
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1258080219713
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080220510
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080240807
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080242510
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080645005
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1258080645068
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.format",1258080650146
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1258080650896
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080661162
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080697193
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080701068
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080828646
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.format",1258080830537
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1258080832037
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080837552
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258080866052
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.selectAll",1258080934208
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1258080935130
